Name,X,Y,Population,Distance
City1,42.25,55.14,395225,983.52
City2,61.13,3.68,508963,710.36
City3,101.69,-55.59,851059,38.95
City4,140.49,-20.47,186799,684.83
City5,-141.72,2.83,585267,739.08
City6,24.25,41.96,829220,854.64
City7,-79.03,28.46,520314,14.71
City8,-62.62,-40.03,922190,748.1
City9,-166.31,-26.95,180124,766.56
City10,45.71,-35.67,745023,141.23
City11,-116.84,59.91,931021,63.88
City12,38.7,75.94,138028,13.21
City13,2.64,69.23,789542,639.34
City14,-175.2,-65.61,688981,509.47
City15,71.32,-69.95,270040,633.62
City16,10.49,12.94,51377,801.14
City17,78.81,-27.49,294432,333.67
City18,113.75,59.09,555357,47.5
City19,-80.63,-70.19,89927,188.47
City20,73.12,53.93,378409,381.26
City21,-150.63,3.42,537682,736.58
City22,-133.65,-2.44,312647,934.85
City23,-69.07,0.69,764223,6.52
City24,90.7,-87.06,431585,197.68
City25,-58.35,3.27,694522,180.49
City26,-32.32,37.54,821958,208.33
City27,-17.48,-87.89,407405,352.89
City28,-161.03,73.72,19002,776.17
City29,133.02,-82.11,695045,519.0
City30,28.35,-36.99,184218,237.45
City31,144.37,1.2,499129,686.16
City32,-140.64,43.02,283989,355.03
City33,-92.13,-67.34,86862,716.7
City34,-31.08,74.32,747171,832.41
City35,-43.93,-81.63,885810,524.96
City36,-35.45,-7.72,610919,387.99
City37,-123.32,-27.84,841939,477.64
City38,108.06,-31.54,462324,639.93
City39,179.87,-37.74,352203,290.08
City40,-18.08,35.27,644005,371.13
City41,-41.23,-42.4,478421,907.74
City42,119.21,53.47,342599,288.43
City43,164.69,-75.61,468510,556.52
City44,-108.79,-1.46,463058,896.16
City45,-118.3,37.06,560839,583.57
City46,179.42,41.62,779164,240.21
City47,-177.06,18.03,523795,235.52
City48,153.56,35.4,678624,499.57
City49,76.94,57.97,1485,68.66
City50,-94.28,-67.47,714788,899.37
City51,85.37,41.45,778906,31.52
City52,84.46,-39.29,274304,441.31
City53,-38.16,-84.86,240842,39.5
City54,-176.45,-47.58,858604,164.5
City55,-154.42,5.98,42245,454.72
City56,31.82,18.31,901073,800.38
City57,98.07,-8.35,559331,478.75
City58,-104.93,21.0,905936,589.65
City59,12.65,-34.76,271916,631.06
City60,162.84,-35.71,430715,934.76
City61,-48.81,-30.77,219935,369.33
City62,-163.67,-3.87,340012,525.01
City63,-95.34,-38.12,647321,179.44
City64,-38.52,-83.7,773403,740.06
City65,-125.39,25.97,918182,809.31
City66,169.86,-42.82,814045,772.22
City67,-125.18,-23.02,385474,65.3
City68,-159.96,42.69,992647,491.59
City69,-90.08,37.45,176894,505.89
City70,-84.39,-87.61,580872,473.22
City71,28.66,-71.48,111605,466.82
City72,-18.71,76.55,50605,515.96
City73,17.59,85.38,215040,92.68
City74,94.86,-30.77,628295,241.36
City75,-90.54,44.99,670437,788.23
City76,170.74,15.43,73672,890.7
City77,92.84,-88.12,185740,362.55
City78,-169.04,70.19,249273,94.12
City79,-87.29,-39.42,538444,45.44
City80,36.04,0.46,925020,631.47
City81,-15.92,-36.45,401063,702.58
City82,73.53,-15.17,677924,596.14
City83,-3.16,-43.13,713823,971.51
City84,-102.05,-21.83,931353,136.01
City85,101.33,17.38,596621,826.98
City86,68.73,-53.76,982940,381.32
City87,-135.84,72.66,721952,950.59
City88,-126.82,27.44,889046,20.31
City89,-160.03,44.53,424863,225.94
City90,-134.58,-58.51,773032,688.38
City91,123.94,54.54,879250,558.79
City92,-159.61,71.4,303655,901.83
City93,-71.89,18.11,342174,45.39
City94,-117.8,18.73,616403,46.94
City95,78.61,-51.43,707469,429.87
City96,-175.16,88.56,966613,218.83
City97,-115.58,-85.96,698342,400.14
City98,61.25,-25.11,815554,956.71
City99,-42.63,-53.34,831284,37.3
City100,39.98,11.73,404226,69.03
City101,-71.7,9.9,373316,933.65
City102,39.87,20.27,744633,212.77
City103,84.67,-65.45,674276,849.21
City104,-166.15,57.55,845164,57.94
City105,26.55,-27.42,884827,596.98
City106,-7.82,-69.62,988509,822.52
City107,-36.88,-82.08,317906,39.21
City108,50.55,31.9,139343,693.51
City109,-127.71,65.81,328116,562.14
City110,-123.07,46.68,447340,27.81
City111,-9.5,82.01,546009,237.85
City112,9.67,-85.72,370147,241.92
City113,-19.21,4.2,785195,332.38
City114,166.66,70.73,474318,894.46
City115,-158.74,28.13,246206,586.04
City116,68.48,15.0,868251,327.73
City117,146.11,-54.29,378204,115.18
City118,-100.79,-46.26,349590,768.68
City119,-157.43,77.65,99848,364.86
City120,28.47,38.45,278307,402.79
City121,176.29,-85.32,572374,180.77
City122,120.11,-72.86,435118,432.72
City123,111.76,5.95,989679,133.76
City124,-76.35,-3.48,751426,43.44
City125,8.71,70.43,92839,203.12
City126,24.2,-22.41,509152,869.2
City127,79.04,68.24,476689,372.14
City128,-73.16,-61.42,746797,701.06
City129,-141.74,-10.27,917978,28.48
City130,125.43,-48.71,394922,316.77
City131,85.26,-29.2,462921,641.08
City132,79.29,-22.44,970961,831.12
City133,-134.49,54.25,98953,294.7
City134,155.39,-61.08,650495,795.49
City135,81.71,-56.39,49696,629.38
City136,-45.8,71.86,492549,379.93
City137,7.32,-41.21,133999,263.91
City138,137.0,-35.12,237180,230.48
City139,120.32,-72.99,718252,186.74
City140,10.31,-17.5,433540,921.16
City141,-76.63,-36.97,816326,903.81
City142,-104.94,22.0,638779,665.56
City143,92.16,-66.9,645178,285.6
City144,-147.3,73.55,665505,891.14
City145,138.74,-40.45,655190,234.85
City146,157.87,-66.52,426135,817.72
City147,-58.32,22.04,35091,793.69
City148,-152.7,78.64,404750,823.94
City149,45.8,26.41,340363,166.69
City150,42.64,17.64,416779,810.95
City151,72.96,-24.82,409686,62.04
City152,-152.95,-36.35,380816,168.91
City153,-118.01,66.72,100850,842.34
City154,-60.43,-76.37,880052,714.24
City155,-116.38,53.0,566161,245.61
City156,-101.8,-56.94,776254,757.06
City157,-122.48,-29.93,893001,290.21
City158,-82.21,18.56,976672,375.52
City159,97.9,16.19,536376,101.69
City160,-106.91,-3.61,597235,736.48
City161,-0.57,-27.83,743550,365.41
City162,64.4,-86.93,985358,280.77
City163,128.45,78.87,221676,865.89
City164,-63.41,49.86,440355,994.99
City165,-55.14,14.47,250098,129.97
City166,-41.74,83.46,458321,903.19
City167,159.83,-67.99,418577,201.66
City168,39.15,52.76,886024,970.03
City169,123.81,28.59,75847,564.13
City170,8.32,-50.32,816375,796.78
City171,-71.53,-42.12,587461,733.22
City172,167.44,44.1,103003,448.2
City173,-24.47,11.92,1128,391.54
City174,-133.8,80.01,535647,846.74
City175,68.59,-59.27,554752,229.79
City176,11.24,-18.08,869382,844.45
City177,-129.54,9.99,909497,470.67
City178,174.91,4.05,402220,70.2
City179,90.41,-3.13,646507,398.18
City180,51.17,-43.13,460916,286.59
City181,29.68,84.3,168145,204.11
City182,-1.15,-50.87,337381,221.5
City183,-82.63,-51.77,491443,211.86
City184,-160.45,23.72,906423,222.36
City185,110.14,59.77,799211,241.5
City186,-162.59,89.18,136680,446.1
City187,71.21,-85.02,769370,15.92
City188,-12.31,74.02,262201,157.41
City189,-49.38,7.68,252506,49.88
City190,-121.82,-61.2,770006,779.59
City191,-40.19,17.18,448138,569.05
City192,131.93,-53.73,889698,770.88
City193,91.83,56.41,185460,231.44
City194,-19.09,77.62,955818,143.38
City195,-123.05,-35.97,286222,61.47
City196,55.32,-89.54,249619,684.62
City197,40.73,-47.47,789891,894.8
City198,-167.9,-83.52,72420,919.9
City199,21.61,13.26,436637,12.77
City200,-111.43,-1.57,190550,956.55
City201,121.75,-5.62,198152,150.03
City202,-106.41,60.19,379234,766.11
City203,-65.51,-0.89,985210,544.69
City204,138.22,-6.86,819921,70.58
City205,74.71,51.9,553392,837.6
City206,-56.49,-53.93,350564,893.24
City207,108.58,-86.87,955646,272.26
City208,-125.95,30.38,766396,25.79
City209,-114.6,52.61,290339,104.77
City210,-174.6,-38.18,507378,438.21
City211,-47.05,-24.86,16926,110.67
City212,153.78,-50.02,844017,460.52
City213,-14.5,-21.6,360658,888.51
City214,138.71,59.97,134198,862.46
City215,-75.38,73.82,417865,577.19
City216,-10.31,86.13,619592,346.03
City217,-45.23,-30.52,438724,923.67
City218,108.64,-17.67,475219,37.04
City219,-149.71,-54.53,771928,402.46
City220,6.24,-58.15,643831,275.88
City221,85.06,-5.6,52464,118.33
City222,122.21,43.12,90536,615.77
