Name,X,Y,Population,Distance
City1,98.71,-60.03,994854,613.21
City2,-48.65,45.85,814695,781.9
City3,-62.66,55.62,782385,946.92
City4,80.86,24.76,233575,84.83
City5,-80.48,-28.8,966068,250.83
City6,97.1,15.25,947018,635.85
City7,43.89,6.56,779562,327.07
City8,-139.84,-60.2,991200,283.75
City9,-17.28,-42.68,591987,302.26
City10,-6.11,-22.17,553515,435.26
City11,167.72,-1.82,743713,569.47
City12,163.41,80.3,941588,582.66
City13,-67.34,54.54,154304,133.32
City14,-61.43,68.69,170470,150.37
City15,-86.38,-30.33,233036,114.36
City16,-36.19,-53.87,827901,993.39
City17,85.43,-88.92,31880,343.47
City18,102.41,-47.75,799678,683.5
City19,-98.42,3.62,978145,350.8
City20,64.24,-2.63,6676,31.49
City21,-71.64,44.66,898523,639.03
City22,-76.22,74.0,126690,245.46
City23,100.52,-6.25,612346,380.05
City24,-58.18,-45.62,646437,989.88
City25,67.0,-84.32,83686,750.53
City26,-159.82,-38.71,478716,292.2
City27,167.52,-31.35,856001,508.43
City28,110.39,-9.36,772865,735.73
City29,-151.83,63.48,674830,760.76
City30,89.06,13.2,338468,841.93
City31,77.31,-68.62,282745,442.61
City32,-20.32,-15.16,279707,135.06
City33,-94.63,-9.4,579459,743.52
City34,-54.43,87.71,353002,334.57
City35,-162.81,52.54,134217,550.05
City36,-94.84,15.07,423881,721.34
City37,73.28,-5.37,100852,237.5
City38,-78.32,-80.83,187981,552.52
City39,11.74,-89.04,892550,897.73
City40,-84.77,-67.45,866536,616.2
City41,-14.0,-44.98,311510,398.24
City42,133.41,57.03,211856,516.91
City43,-111.46,51.8,146992,368.8
City44,85.74,-33.99,256008,843.63
City45,-179.41,62.23,700352,974.88
City46,-55.51,25.91,294956,863.86
City47,-102.91,-14.67,432484,568.47
City48,-95.94,79.5,396302,568.13
City49,124.15,13.28,823934,248.94
City50,-178.43,-82.98,363659,129.56
City51,73.02,-45.43,673218,985.33
City52,-172.16,46.21,132555,355.18
City53,-23.04,-79.65,428111,530.86
City54,7.9,-34.1,727037,264.26
City55,-125.96,-2.56,794303,410.06
City56,12.18,24.77,166183,768.96
City57,-92.48,-23.32,656378,101.78
City58,43.96,60.7,528911,558.04
City59,30.65,23.87,836147,921.28
City60,-58.5,-60.12,206075,890.42
City61,-147.39,-30.27,789151,824.01
City62,81.98,11.36,582322,286.7
City63,70.34,61.11,708195,355.23
City64,171.54,-38.56,339195,221.09
City65,18.86,86.73,321716,753.97
City66,71.05,-55.51,509322,716.59
City67,-168.72,-84.34,693512,220.01
City68,40.03,-17.33,383034,956.65
City69,-66.54,-56.16,589627,3.42
City70,67.27,1.43,315419,228.8
City71,75.79,31.52,160823,815.05
City72,-119.9,-53.14,157066,553.26
City73,83.55,-58.79,901937,415.83
City74,61.54,-77.73,567483,610.1
City75,-80.07,-38.56,165649,211.04
City76,94.07,-55.99,526602,758.05
City77,66.93,13.92,601437,565.64
City78,-34.6,25.96,349210,641.92
City79,-119.48,16.49,861009,342.92
City80,-51.94,69.97,661969,133.55
City81,-177.5,-81.66,572806,947.46
City82,41.69,85.42,419496,991.49
City83,12.48,76.31,304443,400.62
City84,114.45,63.14,899892,665.46
City85,178.14,81.79,306536,22.8
City86,48.57,68.86,175719,184.64
City87,166.83,-49.29,500908,175.28
City88,-170.79,29.59,967668,832.55
City89,-103.71,12.8,676334,867.07
City90,-57.65,47.91,462725,562.41
City91,-53.58,79.6,591622,441.47
City92,8.93,-56.15,163742,908.2
City93,34.2,-62.39,87330,25.87
City94,39.88,-22.84,310117,774.28
City95,128.07,88.04,399694,493.42
City96,-35.02,24.14,286315,36.62
City97,-173.54,1.14,205134,263.32
City98,80.55,29.9,784665,589.43
City99,-121.92,55.69,789703,151.36
City100,168.28,-2.57,5079,928.41
